Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
S. Obisanya,Sam Obisanya,81,,52500000,"RM,RB",RM,Nigeria,https://cdn.sofifa.net/players/269/765/23_60.png,,22,185,77,AFC Richmond,55000,110300000,RM,Right,-,-,-,-,High,High,89,74,78,72
D. Rice,Declan Rice,84,,52000000,CDM,CDM,England,https://cdn.sofifa.net/players/234/378/23_60.png,,23,185,80,West Ham United,83000,102700000,CDM,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,CM,4,Medium,High,71,64,74,71
C. Gakpo,Cody Gakpo,83,,52000000,LW,RM,Netherlands,https://cdn.sofifa.net/players/242/516/23_60.png,,23,189,76,PSV,29000,76700000,LW,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,9,Medium,Medium,87,82,77,68
R. Araujo,Ronald Araujo,83,,52000000,"CB,RB",CB,Uruguay,https://cdn.sofifa.net/players/253/163/23_60.png,,23,192,91,FC Barcelona,135000,117000000,CB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,High,77,51,65,43
Jorginho,Luiz Frello Filho Jorge,85,,51500000,CM,CM,Italy,https://cdn.sofifa.net/players/205/498/23_60.png,,30,180,68,Chelsea,165000,95300000,CM,Right,Italy,https://cdn.sofifa.net/flags/it.png,CM,8,Medium,Medium,54,67,86,89
É. Mendy,Édouard Mendy,86,,51000000,GK,GK,Senegal,https://cdn.sofifa.net/players/234/642/23_60.png,,30,197,86,Chelsea,130000,98200000,GK,Right,-,-,-,-,Medium,Medium,84,82,81,13
Pau Torres,Pau Francisco Torres,83,,50500000,CB,CB,Spain,https://cdn.sofifa.net/players/241/464/23_60.png,,25,191,80,Villarreal CF,43000,116200000,CB,Left,Spain,https://cdn.sofifa.net/flags/es.png,SUB,12,Medium,High,73,38,67,42
L. Sané,Leroy Sané,84,,49500000,LM,LM,Germany,https://cdn.sofifa.net/players/222/492/23_60.png,,26,183,80,FC Bayern München,90000,85400000,LM,Left,Germany,https://cdn.sofifa.net/flags/de.png,LM,19,Medium,Medium,88,81,80,71
C. Romero,Cristian Romero,83,,49500000,CB,CB,Argentina,https://cdn.sofifa.net/players/232/488/23_60.png,,24,185,79,Tottenham Hotspur,95000,97800000,CB,Right,Argentina,https://cdn.sofifa.net/flags/ar.png,CB,13,Medium,High,73,46,57,40
Antony,Antony Matheus dos Santos,82,,49000000,"RW,RM",LM,Brazil,https://cdn.sofifa.net/players/255/475/23_60.png,,22,174,63,Manchester United,130000,102900000,RM,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,93,74,75,66
Ferran Torres,Ferran Torres García,82,,49000000,"LW,ST",LW,Spain,https://cdn.sofifa.net/players/241/461/23_60.png,,22,184,77,FC Barcelona,150000,110300000,SUB,Right,Spain,https://cdn.sofifa.net/flags/es.png,RW,11,High,Medium,84,79,79,74
Gabriel Jesus,Gabriel Fernando de Jesus,83,,48500000,"ST,RW",ST,Brazil,https://cdn.sofifa.net/players/230/666/23_60.png,,25,175,73,Arsenal,115000,95800000,ST,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,84,82,74,75
Marcos Llorente,Marcos Llorente Moreno,84,,48000000,"CM,RM,RB",CAM,Spain,https://cdn.sofifa.net/players/226/161/23_60.png,,27,184,74,Atlético de Madrid,81000,102000000,SUB,Right,Spain,https://cdn.sofifa.net/flags/es.png,SUB,6,High,Medium,88,79,81,65
O. Dembélé,Ousmane Dembélé,83,,48000000,"RW,LW",LM,France,https://cdn.sofifa.net/players/231/443/23_60.png,,25,178,67,FC Barcelona,180000,102000000,RW,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,93,77,79,75
Raphinha,Raphael Dias Belloli,83,,48000000,"RW,RM",LM,Brazil,https://cdn.sofifa.net/players/233/419/23_60.png,,25,176,68,FC Barcelona,180000,102000000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,91,79,77,78
C. Pulisic,Christian Pulisic,82,,48000000,"LW,RW,LM",RM,United States,https://cdn.sofifa.net/players/227/796/23_60.png,,23,177,69,Chelsea,120000,98400000,SUB,Right,United States,https://cdn.sofifa.net/flags/us.png,LW,10,Medium,Medium,87,71,73,61
I. Konaté,Ibrahima Konaté,81,,48000000,CB,CB,France,https://cdn.sofifa.net/players/237/678/23_60.png,,23,194,95,Liverpool,90000,98400000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,High,78,34,57,41
F. Kessié,Franck Yannick Kessié,84,,47500000,"CDM,CM",CDM,Côte d'Ivoire,https://cdn.sofifa.net/players/230/938/23_60.png,,25,183,88,FC Barcelona,165000,100900000,SUB,Right,-,-,-,-,High,High,78,76,74,88
W. Ndidi,Wilfred Ndidi,84,,47500000,"CDM,CM",CB,Nigeria,https://cdn.sofifa.net/players/226/790/23_60.png,,25,183,74,Leicester City,105000,93800000,CDM,Right,-,-,-,-,Medium,High,66,62,68,57
Rúben Neves,Rúben Diogo da Silva Neves,83,,47500000,"CM,CDM",CM,Portugal,https://cdn.sofifa.net/players/224/293/23_60.png,,25,180,80,Wolverhampton Wanderers,105000,93800000,CDM,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,CDM,18,Low,High,58,74,86,76
Merino,Mikel Merino Zazón,83,,47000000,CM,CM,Spain,https://cdn.sofifa.net/players/225/193/23_60.png,,26,189,83,Real Sociedad,49000,102200000,CM,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,73,78,81,60
T. Lemar,Thomas Lemar,83,,47000000,"CM,LM,RM",CAM,France,https://cdn.sofifa.net/players/213/565/23_60.png,,26,171,66,Atlético de Madrid,74000,99900000,SUB,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,82,78,83,69
M. Acuña,Marcos Acuña,85,,46500000,LB,LB,Argentina,https://cdn.sofifa.net/players/224/334/23_60.png,,30,172,69,Sevilla FC,46000,97700000,LB,Left,Argentina,https://cdn.sofifa.net/flags/ar.png,LB,8,High,High,76,74,83,76
L. Hernández,Lucas Hernández,84,,46000000,"CB,LB",CB,France,https://cdn.sofifa.net/players/220/814/23_60.png,,26,184,79,FC Bayern München,82000,79400000,SUB,Left,France,https://cdn.sofifa.net/flags/fr.png,CB,21,Medium,Medium,77,54,70,42
J. Grealish,Jack Grealish,84,,46000000,"LW,LM,CAM",LW,England,https://cdn.sofifa.net/players/206/517/23_60.png,,26,180,81,Manchester City,185000,85100000,SUB,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,10,High,Medium,76,76,83,58
Dani Olmo,Daniel Olmo Carvajal,82,,46000000,"CAM,CF",CAM,Spain,https://cdn.sofifa.net/players/244/260/23_60.png,,24,179,72,RB Leipzig,59000,81700000,SUB,Right,Spain,https://cdn.sofifa.net/flags/es.png,SUB,19,Medium,High,67,76,81,66
Lucas Paquetá,Lucas Tolentino Coelho de Lima,82,,46000000,"CAM,CM,CF",CAM,Brazil,https://cdn.sofifa.net/players/233/927/23_60.png,,24,180,72,West Ham United,77000,90900000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,72,78,79,75
Bremer,Gleison Bremer Silva Nascimento,83,,45500000,CB,CB,Brazil,https://cdn.sofifa.net/players/239/580/23_60.png,,25,188,82,Juventus,115000,80800000,CB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,Medium,78,50,56,43
D. Berardi,Domenico Berardi,84,,45000000,"RM,RW",RM,Italy,https://cdn.sofifa.net/players/210/935/23_60.png,,27,183,72,U.S. Sassuolo Calcio,57000,76500000,SUB,Left,Italy,https://cdn.sofifa.net/flags/it.png,SUB,11,Medium,Medium,82,81,81,76
Fabián,Fabián Ruiz Peña,83,,44500000,"CM,CDM",CM,Spain,https://cdn.sofifa.net/players/226/271/23_60.png,,26,189,70,Paris Saint-Germain,105000,85700000,SUB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,61,79,80,67
N. Schlotterbeck,Nico Schlotterbeck,82,,44500000,CB,CB,Germany,https://cdn.sofifa.net/players/247/819/23_60.png,,22,191,86,Borussia Dortmund,47000,84600000,CB,Left,Germany,https://cdn.sofifa.net/flags/de.png,SUB,5,High,High,76,56,66,38
J. Timber,Jurriën Timber,80,,44500000,"CB,RB",CB,Netherlands,https://cdn.sofifa.net/players/251/805/23_60.png,,21,179,77,Ajax,14000,71200000,CB,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,2,High,Medium,82,47,67,42
İ. Gündoğan,İlkay Gündoğan,85,,44000000,"CM,CDM",CM,Germany,https://cdn.sofifa.net/players/186/942/23_60.png,,31,180,80,Manchester City,185000,81400000,CM,Right,Germany,https://cdn.sofifa.net/flags/de.png,CDM,21,High,Medium,64,80,85,80
G. Kobel,Gregor Kobel,83,,44000000,GK,GK,Switzerland,https://cdn.sofifa.net/players/235/073/23_60.png,,24,195,88,Borussia Dortmund,40000,78100000,GK,Right,-,https://cdn.sofifa.net/flags/ch.png,-,-,Medium,Medium,84,80,74,12
Nuno Mendes,Nuno Alexandre Tavares Mendes,80,,44000000,"LB,LWB",LB,Portugal,https://cdn.sofifa.net/players/252/145/23_60.png,,20,176,70,Paris Saint-Germain,54000,90200000,LWB,Left,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,2,High,Medium,89,57,73,45
Marco Asensio,Marco Asensio Willemsen,83,,43000000,RW,RW,Spain,https://cdn.sofifa.net/players/220/834/23_60.png,,26,182,76,Real Madrid CF,200000,91400000,SUB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,82,80,81,62
E. Smith Rowe,Emile Smith Rowe,80,,43000000,"LM,CAM",CAM,England,https://cdn.sofifa.net/players/240/273/23_60.png,,21,182,72,Arsenal,65000,90300000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,High,78,71,76,64
Á. Correa,Ángel Correa,83,,42500000,"ST,RM,CF",CF,Argentina,https://cdn.sofifa.net/players/214/997/23_60.png,,27,171,70,Atlético de Madrid,80000,90300000,SUB,Right,Argentina,https://cdn.sofifa.net/flags/ar.png,SUB,9,High,Medium,85,84,77,66
De Gea,David De Gea Quintana,87,,42000000,GK,GK,Spain,https://cdn.sofifa.net/players/193/080/23_60.png,,31,192,76,Manchester United,150000,79800000,GK,Right,Spain,https://cdn.sofifa.net/flags/es.png,SUB,1,Medium,Medium,88,80,76,29
Parejo,Daniel Parejo Muñoz,86,,42000000,CM,CM,Spain,https://cdn.sofifa.net/players/189/513/23_60.png,,33,182,74,Villarreal CF,64000,88200000,CM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,50,83,90,88
H. Çalhanoğlu,Hakan Çalhanoğlu,84,,42000000,CM,CM,Turkey,https://cdn.sofifa.net/players/208/128/23_60.png,,28,178,76,Inter,100000,69300000,CM,Right,-,https://cdn.sofifa.net/flags/tr.png,-,-,High,High,67,80,85,81
M. Kovačić,Mateo Kovačić,84,,42000000,CM,CM,Croatia,https://cdn.sofifa.net/players/207/410/23_60.png,,28,176,80,Chelsea,155000,77700000,SUB,Right,Croatia,https://cdn.sofifa.net/flags/hr.png,CM,8,High,High,70,69,83,59
R. De Paul,Rodrigo Javier De Paul,84,,42000000,CM,CM,Argentina,https://cdn.sofifa.net/players/212/616/23_60.png,,28,180,70,Atlético de Madrid,85000,86100000,CM,Right,Argentina,https://cdn.sofifa.net/flags/ar.png,CM,7,High,Medium,78,77,83,66
Angeliño,José Ángel Esmoris Tasende,83,,42000000,"LWB,LM",LM,Spain,https://cdn.sofifa.net/players/220/651/23_60.png,,25,171,69,TSG Hoffenheim,64000,0,LWB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,78,71,82,55
P. Kimpembe,Presnel Kimpembe,83,,42000000,CB,CB,France,https://cdn.sofifa.net/players/225/850/23_60.png,,26,189,80,Paris Saint-Germain,95000,80900000,RES,Left,France,https://cdn.sofifa.net/flags/fr.png,SUB,3,Medium,High,80,43,68,52
T. Abraham,Tammy Abraham,82,,42000000,ST,ST,England,https://cdn.sofifa.net/players/231/352/23_60.png,,24,195,86,Roma,77000,74600000,ST,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,SUB,23,High,Medium,83,81,66,79
Muniain,Iker Muniain Goñi,84,,41500000,"LM,CAM",LM,Spain,https://cdn.sofifa.net/players/189/575/23_60.png,,29,170,66,Athletic Club de Bilbao,49000,87200000,CAM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,81,77,82,64
D. Kulusevski,Dejan Kulusevski,81,,41500000,"RW,CF",CAM,Sweden,https://cdn.sofifa.net/players/247/394/23_60.png,,22,186,75,Tottenham Hotspur,105000,0,RW,Left,Sweden,https://cdn.sofifa.net/flags/se.png,RW,21,High,Medium,78,77,79,65
Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,90,,126330400,ST,ST,Portugal,https://cdn.sofifa.net/players/020/801/23_60.png,https://image.cnbcfm.com/api/v1/image/107172810-1672439903182-gettyimages-1444990707-portugalvghana-qatarwc2022br275.jpeg?v=1672442489,38,187,83,Al-Nassr,200000000,77900000,SUB,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,ST,7,High,Low,81,92,78,90
Gonçalo Guedes,Gonçalo Manuel Ganchinho Guedes,82,,41000000,"ST,LM,CF",ST,Portugal,https://cdn.sofifa.net/players/224/411/23_60.png,,25,179,68,Wolverhampton Wanderers,105000,81000000,LW,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,17,High,Low,86,83,74,69
P. Højbjerg,Pierre-Emile Højbjerg,83,,40500000,"CDM,CM",CDM,Denmark,https://cdn.sofifa.net/players/213/648/23_60.png,,26,187,84,Tottenham Hotspur,110000,80000000,CM,Right,Denmark,https://cdn.sofifa.net/flags/dk.png,CM,23,High,High,55,73,77,56
N. Mazraoui,Noussair Mazraoui,82,,40500000,RB,RM,Morocco,https://cdn.sofifa.net/players/236/401/23_60.png,,24,183,65,FC Bayern München,59000,69900000,SUB,Right,Morocco,https://cdn.sofifa.net/flags/ma.png,SUB,14,High,Low,84,66,77,44
M. Locatelli,Manuel Locatelli,82,,40000000,"CDM,CM",CM,Italy,https://cdn.sofifa.net/players/222/077/23_60.png,,24,185,75,Juventus,37000,0,CM,Right,Italy,https://cdn.sofifa.net/flags/it.png,SUB,5,Medium,High,63,72,79,60
J. Brandt,Julian Brandt,82,,40000000,"CAM,CM,RM",CAM,Germany,https://cdn.sofifa.net/players/212/194/23_60.png,,26,185,83,Borussia Dortmund,60000,71000000,SUB,Right,Germany,https://cdn.sofifa.net/flags/de.png,SUB,20,High,Medium,67,78,82,54
I. Bennacer,Ismaël Bennacer,82,,40000000,"CDM,CM",CM,Algeria,https://cdn.sofifa.net/players/226/754/23_60.png,,24,175,70,AC Milan,63000,71000000,CM,Left,-,-,-,-,High,Medium,77,68,80,68
W. Saliba,William Saliba,80,,40000000,CB,CB,France,https://cdn.sofifa.net/players/243/715/23_60.png,,21,192,85,Arsenal,58000,84000000,CB,Right,France,https://cdn.sofifa.net/flags/fr.png,CB,17,Medium,High,78,39,67,47
Matheus Cunha,Matheus Santos Carneiro Da Cunha,81,,39500000,"ST,CAM,LM",CAM,Brazil,https://cdn.sofifa.net/players/240/243/23_60.png,,23,184,75,Atlético de Madrid,60000,83900000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,84,82,75,74
D. Szoboszlai,Dominik Szoboszlai,79,,39500000,"CAM,LM",CAM,Hungary,https://cdn.sofifa.net/players/236/772/23_60.png,,21,186,74,RB Leipzig,41000,75100000,CAM,Right,Hungary,https://cdn.sofifa.net/flags/hu.png,LW,10,Medium,Low,77,79,81,79
Vitinha,Vítor Machado Ferreira,79,,39500000,"CM,CAM",CAM,Portugal,https://cdn.sofifa.net/players/255/253/23_60.png,,22,172,64,Paris Saint-Germain,68000,81000000,CM,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,High,73,68,79,73
R. Varane,Raphaël Varane,84,,39000000,CB,CB,France,https://cdn.sofifa.net/players/201/535/23_60.png,,29,191,81,Manchester United,155000,77000000,CB,Right,France,https://cdn.sofifa.net/flags/fr.png,CB,4,Medium,High,81,49,64,43
Pedro Gonçalves,Pedro António Pereira Gonçalves,81,,39000000,"RW,LW,CF",CAM,Portugal,https://cdn.sofifa.net/players/240/950/23_60.png,,24,173,77,Sporting CP,19000,80900000,LW,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,High,Medium,76,80,80,74
K. Laimer,Konrad Laimer,83,,38500000,"CDM,CM",CDM,Austria,https://cdn.sofifa.net/players/225/375/23_60.png,,25,180,72,RB Leipzig,64000,68300000,SUB,Right,Austria,https://cdn.sofifa.net/flags/at.png,RM,20,Medium,High,84,68,78,54
J. Giménez,José María Giménez,83,,38500000,CB,CB,Uruguay,https://cdn.sofifa.net/players/216/460/23_60.png,,27,185,79,Atlético de Madrid,68000,81800000,SUB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,High,71,46,57,38
Pedro Porro,Pedro Antonio Porro Sauceda,81,,38500000,"RWB,RM",RWB,Spain,https://cdn.sofifa.net/players/243/576/23_60.png,,22,173,69,Sporting CP,15000,84700000,RWB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,82,71,75,66
Bruno Guimarães,Bruno Guimarães Moura,81,,38500000,"CM,CDM",CM,Brazil,https://cdn.sofifa.net/players/247/851/23_60.png,,24,182,74,Newcastle United,88000,76000000,CM,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,High,High,69,67,79,65
R. Gravenberch,Ryan Gravenberch,79,,38500000,CM,CAM,Netherlands,https://cdn.sofifa.net/players/246/104/23_60.png,,20,190,77,FC Bayern München,45000,71200000,SUB,Right,Netherlands,https://cdn.sofifa.net/flags/nl.png,SUB,16,Medium,Medium,77,76,78,58
F. Mendy,Ferland Mendy,83,,38000000,LB,LB,France,https://cdn.sofifa.net/players/228/618/23_60.png,,27,180,73,Real Madrid CF,170000,80800000,LB,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,92,64,77,49
J. Maddison,James Maddison,82,,38000000,"CAM,RM",CAM,England,https://cdn.sofifa.net/players/220/697/23_60.png,,25,175,73,Leicester City,100000,75100000,RM,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,73,78,84,74
T. Werner,Timo Werner,82,,38000000,"ST,LW",ST,Germany,https://cdn.sofifa.net/players/212/188/23_60.png,,26,180,76,RB Leipzig,73000,67500000,ST,Right,Germany,https://cdn.sofifa.net/flags/de.png,ST,9,High,Medium,90,80,69,78
André Silva,André Miguel Valente da Silva,82,,38000000,ST,ST,Portugal,https://cdn.sofifa.net/players/228/941/23_60.png,,26,185,84,RB Leipzig,73000,67500000,SUB,Right,Portugal,https://cdn.sofifa.net/flags/pt.png,SUB,9,Medium,Medium,74,83,70,84
Ansu Fati,Anssumane Fati,79,,38000000,LW,CAM,Spain,https://cdn.sofifa.net/players/253/004/23_60.png,,19,178,66,FC Barcelona,84000,85500000,LW,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Medium,88,77,72,74
Yeremy Pino,Yeremy Jesús Pino Santos,79,,38000000,"RM,ST",CAM,Spain,https://cdn.sofifa.net/players/259/377/23_60.png,,19,172,60,Villarreal CF,21000,87400000,RM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,Low,77,73,76,54
E. Camavinga,Eduardo Camavinga,79,,38000000,"CM,CDM",CDM,France,https://cdn.sofifa.net/players/248/243/23_60.png,,19,182,68,Real Madrid CF,78000,85500000,SUB,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,High,76,66,78,62
K. Walker,Kyle Walker,85,,37500000,RB,RB,England,https://cdn.sofifa.net/players/188/377/23_60.png,,32,183,83,Manchester City,170000,69400000,RB,Right,England,https://cdn.sofifa.net/flags/gb-eng.png,RB,2,High,High,91,63,77,63
A. Christensen,Andreas Christensen,82,,37500000,CB,CB,Denmark,https://cdn.sofifa.net/players/213/661/23_60.png,,26,188,81,FC Barcelona,145000,79700000,SUB,Right,Denmark,https://cdn.sofifa.net/flags/dk.png,CB,6,Low,Medium,68,32,66,36
Unai Simón,Unai Simón Mendibil,83,,37000000,GK,GK,Spain,https://cdn.sofifa.net/players/230/869/23_60.png,,25,190,89,Athletic Club de Bilbao,30000,80500000,GK,Right,Spain,https://cdn.sofifa.net/flags/es.png,GK,23,Medium,Medium,82,79,77,24
B. Chilwell,Ben Chilwell,82,,37000000,"LWB,LB",LWB,England,https://cdn.sofifa.net/players/229/984/23_60.png,,25,180,77,Chelsea,110000,71200000,SUB,Left,England,https://cdn.sofifa.net/flags/gb-eng.png,LB,21,High,Medium,76,60,78,52
D. Upamecano,Dayot Upamecano,81,,37000000,CB,CB,France,https://cdn.sofifa.net/players/229/558/23_60.png,,23,186,90,FC Bayern München,54000,68500000,CB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,82,43,61,39
M. Rashford,Marcus Rashford,81,,37000000,"LW,ST",ST,England,https://cdn.sofifa.net/players/231/677/23_60.png,,24,186,70,Manchester United,120000,73100000,ST,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low,87,82,75,85
Gabriel,Gabriel dos S. Magalhães,81,,37000000,CB,CB,Brazil,https://cdn.sofifa.net/players/232/580/23_60.png,,24,190,87,Arsenal,74000,77700000,CB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,High,68,36,60,40
Carvajal,Daniel Carvajal Ramos,84,,36500000,RB,RB,Spain,https://cdn.sofifa.net/players/204/963/23_60.png,,30,173,73,Real Madrid CF,185000,74800000,RB,Right,Spain,https://cdn.sofifa.net/flags/es.png,RB,20,High,Medium,82,54,77,45
P. Zieliński,Piotr Zieliński,83,,36500000,"CAM,CM",CAM,Poland,https://cdn.sofifa.net/players/210/406/23_60.png,,28,180,75,Napoli,78000,62100000,CM,Right,Poland,https://cdn.sofifa.net/flags/pl.png,CAM,20,Medium,Medium,81,77,81,58
D. Rojas,Dani Rojas,82,,36500000,ST,ST,Mexico,https://cdn.sofifa.net/players/269/763/23_60.png,,26,183,75,AFC Richmond,74000,72100000,ST,Right,-,https://cdn.sofifa.net/flags/mx.png,-,-,High,Medium,83,83,75,82
A. Danjuma,Arnaut Danjuma,82,,36500000,"LM,ST",LM,Netherlands,https://cdn.sofifa.net/players/236/276/23_60.png,,25,178,74,Villarreal CF,43000,79400000,SUB,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,High,Medium,88,81,75,75
K. Trapp,Kevin Trapp,86,,36000000,GK,GK,Germany,https://cdn.sofifa.net/players/188/943/23_60.png,,31,189,84,Eintracht Frankfurt,43000,61200000,GK,Right,Germany,https://cdn.sofifa.net/flags/de.png,SUB,22,Medium,Medium,84,82,79,17
T. Partey,Thomas Partey,84,,36000000,"CDM,CM",CDM,Ghana,https://cdn.sofifa.net/players/209/989/23_60.png,,29,185,77,Arsenal,115000,68400000,CDM,Right,Ghana,https://cdn.sofifa.net/flags/gh.png,CDM,6,Medium,High,65,71,81,49
A. Gouiri,Amine Gouiri,79,,36000000,"ST,LM",CAM,France,https://cdn.sofifa.net/players/240/753/23_60.png,,22,181,83,Stade Rennais FC,49000,75600000,ST,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,High,Medium,78,81,76,78
Gavi,Pablo Martín Páez Gavira,79,,36000000,"CM,LW,RW",CAM,Spain,https://cdn.sofifa.net/players/264/240/23_60.png,,17,173,68,FC Barcelona,17000,81000000,SUB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,High,High,76,64,77,51
Gonçalo Inácio,Gonçalo Bernardo Inácio,79,,36000000,CB,CB,Portugal,https://cdn.sofifa.net/players/257/179/23_60.png,,20,185,78,Sporting CP,11000,79200000,CB,Left,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,High,80,36,61,40
G. Raspadori,Giacomo Raspadori,79,,36000000,"CF,CAM,LM",CAM,Italy,https://cdn.sofifa.net/players/253/002/23_60.png,,22,172,69,Napoli,37000,0,SUB,Right,Italy,https://cdn.sofifa.net/flags/it.png,SUB,20,High,Low,81,78,68,76
W. Ben Yedder,Wissam Ben Yedder,84,,35500000,ST,CF,France,https://cdn.sofifa.net/players/199/451/23_60.png,,31,170,68,AS Monaco,88000,67500000,ST,Right,France,https://cdn.sofifa.net/flags/fr.png,SUB,9,High,Low,81,84,78,85
Luis Alberto,Luis Alberto Romero Alconchel,83,,35500000,CM,CM,Spain,https://cdn.sofifa.net/players/198/706/23_60.png,,29,183,74,Lazio,74000,60400000,CM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,54,75,86,56
